source,experiment_dir,date,run_label,tournament_cell,human_role,crewmate_model,impostor_model,prompt_profile,aggression_level,completed,winner,winner_code,human_outcome,winner_reason_raw,special_config
shiven,2026-02-27_exp_5,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_6,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_7,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-27_exp_8,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,No,,,,,
shiven,2026-02-27_exp_9,2026-02-27,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,No,,,,,
shiven,2026-02-28_exp_0,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_1,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_10,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-28_exp_11,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (time limit reached),4,Human loses,Impostors win! (Time limit reached),
shiven,2026-02-28_exp_12,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-28_exp_13,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
shiven,2026-02-28_exp_14,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-28_exp_15,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-28_exp_16,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
shiven,2026-02-28_exp_2,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Crewmates (impostors eliminated),2,Human wins,Crewmates win! (Impostors eliminated),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_3,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (time limit reached),4,Human loses,Impostors win! (Time limit reached),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_4,2026-02-28,RUN_005,H_CREW_FRONTIER,crewmate,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human loses,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_5,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_6,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_7,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Crewmates (impostors eliminated),2,Human loses,Crewmates win! (Impostors eliminated),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_8,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
shiven,2026-02-28_exp_9,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,aggressive_v1,3,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),"PROMPT_PROFILE=aggressive_v1, AGGRESSION_LEVEL=3"
aadi,2026-02-28_exp_0,2026-02-28,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
aadi,2026-02-28_exp_1,2026-02-28,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
aadi,2026-02-28_exp_10,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
aadi,2026-02-28_exp_11,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
aadi,2026-02-28_exp_12,2026-02-28,RUN_006,H_IMP_FRONTIER,impostor,google/gemini-2.5-flash,google/gemini-2.5-flash,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
aadi,2026-02-28_exp_2,2026-02-28,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
aadi,2026-02-28_exp_3,2026-02-28,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
aadi,2026-02-28_exp_4,2026-02-28,RUN_003,H_CREW_FRONTIER,crewmate,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human wins,Crewmates win! (All task completed),
aadi,2026-02-28_exp_5,2026-02-28,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human loses,Crewmates win! (All task completed),
aadi,2026-02-28_exp_6,2026-02-28,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human loses,Crewmates win! (All task completed),
aadi,2026-02-28_exp_7,2026-02-28,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Impostors (outnumbered crewmates),1,Human wins,Impostors win! (Crewmates being outnumbered or tied to impostors)),
aadi,2026-02-28_exp_8,2026-02-28,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human loses,Crewmates win! (All task completed),
aadi,2026-02-28_exp_9,2026-02-28,RUN_004,H_IMP_FRONTIER,impostor,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,baseline_v1,,Yes,Crewmates (all tasks completed),3,Human loses,Crewmates win! (All task completed),
